catchment,longitude,latitude,year,sp,ai,si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
655,-73.23597,42.63857,2001,0.39837879870000004,0.649394921865595,-0.0580138904643057,0.5380911309212637,0.13580222306378842,4.886689525701352,9.875,3.4823570057071493,5.646734380498842,4.5
655,-73.23597,42.63857,2002,0.2312458492,0.690031731694304,0.0636460236633066,0.6254972981407532,0.11458670667594534,3.729390732789875,19.714285714285715,3.0619328478016796,3.6816238560770502,3.5555555555555554
655,-73.23597,42.63857,2003,0.3966006907,0.522253011992495,0.132392042751928,0.5176743893043516,0.1995846569229519,3.021392807027968,11.555555555555555,3.2270009663404498,4.725297731585682,3.625
655,-73.23597,42.63857,2004,0.2890917627,0.426434321672745,0.206906179309451,0.5473385525026784,0.21661367064563597,2.380320032271918,11.2,3.0074582394458003,4.168649364114142,2.5555555555555554
655,-73.23597,42.63857,2005,0.38507818039999997,0.608650374180687,-0.196939703531502,0.5807045643068308,0.14657318620050686,4.35328241052625,11.444444444444445,3.3641797856601015,5.096113500676044,6.75
655,-73.23597,42.63857,2006,0.24915514789999998,0.446689088037612,0.229666390775922,0.5543519678851231,0.21555250985799143,2.59180720006501,8.076923076923077,2.850033185317912,4.110065467937514,2
655,-73.23597,42.63857,2007,0.2947876786,0.552713551660573,0.00189747746676037,0.5330554332282108,0.1345171437404615,2.9267050750051844,15.333333333333334,3.356659485614179,4.186502125892208,3.5
655,-73.23597,42.63857,2008,0.3293305263,0.506175099738224,-0.141926593848829,0.5209027531982451,0.1535840856873392,3.3221547504188247,7,3.735058519500281,5.333089128175528,3.6666666666666665
655,-73.23597,42.63857,2009,0.3448656776,0.580232902308075,0.164903564744793,0.5177353827758132,0.22677258714726103,2.467339135881123,8.5,2.931309777883174,4.349427881744599,2.625
655,-73.23597,42.63857,2010,0.2667811134,0.555934087826653,-0.0800538719042603,0.556972235698203,0.06487503361172102,6.879701797375028,15.25,3.493854029790106,5.000364789601225,7
655,-73.23597,42.63857,2011,0.3779447104,0.501126087264859,0.243643962445298,0.5285821967793031,0.17558996919028622,3.1008741335559087,11.5,3.08534011333301,4.870752908283427,3.4444444444444446
655,-73.23597,42.63857,2012,0.1809073851,0.595376568734941,0.15086338958711,0.6639163854234567,0.1166556739070225,5.761381730599086,16.166666666666668,2.5235425009036763,2.8702245817554775,1
655,-73.23597,42.63857,2013,0.35285619879999996,0.650130033243852,0.167271317086857,0.5874985757281848,0.24236819822630265,3.0126049099138523,6,2.744360902255639,3.826722518109782,1.8888888888888888
655,-73.23597,42.63857,2014,0.41577265230000005,0.645563578365676,-0.190187507251619,0.6040344852971504,0.15543409600781485,4.4685068117349624,8,2.8943712726303725,4.1379227405413594,2
655,-73.23597,42.63857,2015,0.3676230486,0.607750195971318,0.131351422152505,0.5148741336167488,0.16240100497438012,3.4086467328211323,9.833333333333334,3.475270652523426,5.044524872663537,3.909090909090909
655,-73.23597,42.63857,2016,0.1555396784,0.81171060123195,-0.016284492520662,0.6688073329840655,0.13005884965823908,4.39942118763082,12.333333333333334,2.6044122879323948,3.147375024367439,2
655,-73.23597,42.63857,2017,0.2775163693,0.653394416348574,-0.0400194807057967,0.5749446323137524,0.10786982581459358,5.160535460920816,6.9375,3.2713016078858996,4.7029032311845125,3.1
655,-73.23597,42.63857,2018,0.29821244010000003,0.52302784856033,0.118786548109332,0.5394467400425691,0.1191252938632218,4.53896405102646,8.6,2.6813151428076325,3.2720527633681127,1.8571428571428572
655,-73.23597,42.63857,2019,0.3529374546,0.44801934373686,-0.0947917408894516,0.6534294896836751,0.11912042155665883,6.096680075661095,14.833333333333334,2.2201391262262726,2.5277457980601943,1.2857142857142858
