catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
1,-121.0124969,55.06528091,0.7337758368999999,0.516576361518079,0.102871504171486,0.627576243940522,0.14193097953069286,2.7853148039482196,65.86842105263158,3.5679568586213626,5.107991654610515,11.577464788732394
2,-107.7436066,54.93027878,0.598634310015789,1.06542874348851,0.770921943959914,0.7747589449009035,0.00991566680454462,15.162648838941962,47.642857142857146,2.691395384504834,2.940892417964088,9.933333333333334
3,-57.7838287354,48.806640625,0.648858809663158,0.325721402168385,-0.0568286165662814,0.4636032625953379,0.12766693245653266,3.1475551981728556,16.37735849056604,3.5658696058540222,5.26854772231964,4.822784810126582
4,-58.78358078,48.1083908081,0.589126149973684,0.297671169305567,-0.124413047063816,0.4408791198219285,0.11920376623556106,3.435434480211351,10.936170212765957,3.638486927228867,5.772466757182662,3.3684210526315788
5,-55.3300018311,47.21641922,0.46029625342105296,0.377187879560379,-0.104426144042366,0.5670337031657956,0.15053393100564194,4.610717948823495,12.62878787878788,2.6288897153591533,3.323346396647005,2.9390243902439024
6,-79.6065826416,45.9491882324,0.492229004326316,0.58447106560959206,0.159573821121768,0.5213367638633006,0.05687592673695707,6.772831194398648,28.05263157894737,3.7389019389047458,5.481297918430717,7.125
7,-95.8521118164,63.6525802612,0.808302336984211,0.71557720355285,0.710791573303594,0.7549893523336295,0.17139529211517304,2.3331310842029014,157.5,3.0712514703811493,3.6511031590668415,54.266666666666666
8,-94.19805908,58.01353073,0.713452912131579,0.688726316480989,0.703361920887747,0.4976483324455443,0.01905467464210969,6.928161140519245,84.46875,3.917998068322826,5.669402945139191,19.42222222222222
9,-95.66385651,57.65327835,0.698234265047368,0.767672799806806,0.752695809264604,0.5682090440566905,0.05188866505769599,4.950988413471093,91.75757575757576,3.795926392984056,5.256703827219396,19.442307692307693
10,-93.45305634,57.02305984,0.691430630636842,0.749938024391204,0.727499606654759,0.5540184863572664,0.03986642345463576,5.195880005371279,70.5,3.547847144174958,4.741122496875025,25.227272727272727
11,-94.21617126,56.51258087,0.6761102981736841,0.823477143523979,0.733028729534211,0.5784283247611209,0.07738659036029424,4.291672484295063,82.78787878787878,3.621108377371659,5.136659472138753,17.903846153846153
12,-62.161441803,56.3731384277,0.843930464447368,0.402686045421701,0.240215070038057,0.5435150810562136,0.0293892819374974,5.747519566535471,75.8780487804878,4.13418479752039,6.106103455025999,26.38
13,-62.1103286743,56.3405609131,0.802122739784211,0.41620736842395,0.208899894298859,0.5932573460385977,0.00722543597810369,14.61991145988504,70.3125,3.9499049325758766,5.714567532959146,27.208333333333332
14,-94.69664764,56.34156036,0.665439146957895,0.818461676452158,0.719878870318078,0.588096338797454,0.04192079229269965,5.880196715181308,86.82857142857142,3.810981054761912,5.191659984743907,28.048780487804876
